Value Bets,Value Players,ratio_bets_players
176408.52,10455,1687.312482065997
186021.98,9763,1905.377240602274
190348.53,11200,1699.5404464285712
254130.82,13270,1915.0777694046724
82660.3,6089,1357.5348989981935
67609.29,4601,1469.4477287546185
44947.399999999994,2998,1499.246164109406
79964.2,6108,1309.1715782580222
213680.3,12587,1697.626916660046
237875.0,11793,2017.0864071907065
105120.26,5149,2041.566517770441
198595.6,15151,1310.7755263678966
133232.19999999998,7120,1871.2387640449435
144435.1,10081,1432.7457593492709
147004.4,8413,1747.3481516700342
105878.08,5081,2083.803975595355
140522.09999999998,6863,2047.5316916800227
185072.75,12033,1538.0432975982715
94498.70000000001,5531,1708.528295064184
73666.09,4769,1544.686307401971
96388.34,6550,1471.577709923664
241106.08,13081,1843.177738704992
99173.07,6772,1464.4576196101596
113597.0,5820,1951.8384879725086
150400.9,12662,1187.8131416837782
79401.3,6000,1323.355
153352.4,11638,1317.6868877814056
70073.8,3975,1762.8628930817613
148505.9,8197,1811.710381847017
196632.17,11193,1756.7423389618511
136052.45,7466,1822.293731583177
88868.4,5956,1492.081934184016
120903.42,8398,1439.6692069540366
139486.49,7428,1877.8471997845986
69899.51,3846,1817.4599583983359
111706.35,6602,1692.007724931839
107056.85,5391,1985.8439992580227
164705.21,9386,1754.796611975282
232065.98,11863,1956.2166399730256
150085.34,7377,2034.5037278026298
105601.31,5291,1995.866754866755
124550.01,7033,1770.9371534195932
147415.61,8946,1647.838251732618
110810.5,7410,1495.4183535762484
123507.2,7276,1697.4601429356787
131926.3,5226,2524.4221201683886
131182.8,6319,2076.005697103972
162066.84,9777,1657.6336299478367
87886.0,7240,1213.8950276243095
140964.08,10311,1367.1232664145086
167110.7,13508,1237.1239265620375
102023.6,6666,1530.5070507050707
104493.41,5238,1994.9104620084004
111130.8,6965,1595.5606604450827
139013.79,10134,1371.756364712848
83328.79999999999,4936,1688.184764991896
63655.100000000006,2870,2217.947735191638
216117.3,14274,1514.0626313577134
167069.5,12486,1338.0546211757166
232478.86,10681,2176.5645538807225
88325.86,5353,1650.025406314216
115258.21,7582,1520.1557636507519
106293.0,7107,1495.6099620092866
182052.54,11152,1632.465387374462
90011.90000000001,4703,1913.9251541569213
60482.600000000006,3149,1920.6922832645287
174479.7,13908,1254.5276100086282
135994.58,6403,2123.9197251288456
141471.96,7294,1939.5662188099805
109350.91,6061,1804.172743771655
211074.8,11753,1795.9227431294134
124805.75,6062,2058.8213460903994
166525.2,12527,1329.330246667199
123952.37,5986,2070.704477113264
63848.28,4093,1559.9384314683607
86125.69,5140,1675.5970817120624
144898.73,9225,1570.717940379404
131647.3,11714,1123.8458255079393
114060.47,5748,1984.3505567153795
162634.53,10455,1555.5670014347202
137474.69999999998,8947,1536.5452106851458
52029.3,3714,1400.896607431341
101362.70000000001,6966,1455.1062302612693
107076.08,5322,2011.9518977827884
85265.1,5481,1555.648604269294
108959.1,8971,1214.5702820198417
110561.6,7325,1509.3733788395905
208680.6,11227,1858.7387547875658
111659.45,6308,1770.1244451490172
211153.69999999998,14912,1415.9985246781116
198487.09999999998,14465,1372.1887314206704
105052.8,8420,1247.6579572446558
55965.7,2749,2035.8566751546014
129703.65,6401,2026.3029214185285
248497.5,17456,1423.5649633363887
