Value Bets,Value Prize,Value Players,diff_bets_prize,ratio_prize_bets,ratio_prize_players,ratio_bets_players
127963.5,44094.0,7586,83869.5,34.458263489198096,581.254943316636,1686.8375955707884
198382.47,653449.45,10938,-455066.98,329.3887055645592,5974.121868714573,1813.6996708721888
106476.71,299166.0,7392,-192689.28999999998,280.9684859721905,4047.1590909090905,1440.4316829004329
202130.68,63345.77,11638,138784.91,31.339017906633472,544.3011685856676,1736.8162914590137
181589.7,46110.200000000004,13347,135479.5,25.392519509641794,345.47239079943057,1360.5282085861993
147838.9,254764.90000000002,10566,-106926.00000000003,172.32602515305513,2411.176414915768,1399.194586409237
115347.82,257540.88,6611,-142193.06,223.2732963657224,3895.641809106036,1744.7862653153834
116929.5,69962.5,7505,46967.0,59.83306180219705,932.2118587608261,1558.0213191205862
203807.90000000002,63844.399999999994,9273,139963.50000000003,31.32577294599473,688.4977892807074,2197.8636902836192
178653.71,412723.6,12203,-234069.88999999998,231.01876809611173,3382.1486519708264,1464.0146685241334
105416.29999999999,5914.0,7102,99502.29999999999,5.610138090598893,83.27231765699803,1484.3185018304703
99323.33,25154.79,6097,74168.54000000001,25.326164557712676,412.5765130391996,1629.0524848286043
138636.1,24108.800000000003,8911,114527.3,17.38998716784445,270.5510043766132,1555.7861070586914
77344.3,8423.6,5986,68920.7,10.89104174451123,140.72168392916805,1292.086535248914
165454.9,33020.22,9753,132434.68,19.95723305867641,338.5647493079053,1696.451348303086
123026.3,31311.37,6274,91714.93000000001,25.450956421513123,499.06550844756134,1960.8909786420145
116461.52,128769.27,5861,-12307.75,110.56808291700126,2197.0528919979524,1987.0588636751406
60491.0,9813.099999999999,3792,50677.9,16.22241325155808,258.7842827004219,1595.2267932489451
63751.2,63220.100000000006,3181,531.0999999999913,99.16691764233458,1987.4284816095571,2004.1244891543538
184175.54,553800.7,10801,-369625.1599999999,300.69177481439715,5127.309508378853,1705.1711878529766
96760.3,77553.4,6516,19206.90000000001,80.15002020456737,1190.1995089011664,1484.9647022713323
106244.65,204936.01,5764,-98691.36000000002,192.89066320045293,3555.4477793199167,1843.2451422623178
151107.27,17591.16,10564,133516.11,11.641504740307996,166.51987883377507,1430.398239303294
73989.7,5705.8,4293,68283.9,7.711613913828547,132.90938737479618,1723.4963894712323
156548.05,192252.18,9716,-35704.130000000005,122.80713812787832,1978.717373404693,1611.2397076986413
108583.6,56624.3,5153,51959.3,52.14811444822238,1098.8608577527655,2107.1919270327962
210498.59,34733.93,10863,175764.66,16.50078986277295,319.74528215041886,1937.7574334898277
196947.7,46695.299999999996,12096,150252.40000000002,23.70949241854563,386.0391865079365,1628.205191798942
110808.29,212433.07,5601,-101624.78000000001,191.7122536589997,3792.770398143189,1978.3661846098908
138066.9,7038.9,9090,131028.0,5.098180664590862,77.43564356435643,1518.8877887788778
96700.0,215149.3,6762,-118449.29999999999,222.49152016546017,3181.740609287193,1430.050280981958
183062.7,293298.9,10139,-110236.20000000001,160.21772867984575,2892.7793668014597,1805.530131176645
165658.86,63731.93,9768,101926.93,38.47179076325891,652.4562858312859,1695.934275184275
155034.81,297143.43,8851,-142108.62,191.66239504534497,3357.173539713027,1751.6078409219297
85051.0,21419.49,5119,63631.509999999995,25.184289426344197,418.4311388943153,1661.4768509474504
146861.09,247126.99,10028,-100265.9,168.27261053285113,2464.369664938173,1464.5102712405264
210609.21,520743.08,11751,-310133.87,247.25560672299184,4431.478852863585,1792.2662752106203
176275.24,441084.06,10733,-264808.82,250.2246259883124,4109.606447405199,1642.3669058045282
121214.19,8675.92,5959,112538.27,7.157511839166684,145.59355596576606,2034.1364322872967
144787.5,25043.3,12877,119744.2,17.29658982992316,194.48085734254872,1124.3884445134736
104189.63,8106.22,5519,96083.41,7.780256058112502,146.87842000362386,1887.8352962493207
123227.2,16363.800000000001,8358,106863.4,13.279373385096799,195.78607322325917,1474.3622876286192
84597.70000000001,167201.1,4536,-82603.4,197.6426073049267,3686.09126984127,1865.0286596119934
84811.27,33601.77,4135,51209.50000000001,39.61946330953421,812.6183796856105,2051.058524788392
70092.4,209717.2,4544,-139624.80000000002,299.20105460791757,4615.255281690142,1542.5264084507041
115507.15,64233.85,8323,51273.299999999996,55.61028040255517,771.7631863510753,1387.8066802835515
177258.69999999998,292936.5,12816,-115677.80000000002,165.25930744160937,2285.709269662921,1383.1047128589262
94501.08,384380.6,4569,-289879.51999999996,406.74730913128184,8412.794922302473,2068.3099146421537
117600.7,116512.4,9471,1088.300000000003,99.07458033838233,1230.2016682504486,1241.692535107169
100082.41,442369.24,5197,-342286.82999999996,442.0049836929386,8512.011545122186,1925.7727535116412
208894.33,8330.34,12049,200563.99,3.9878248490516714,69.13718980828286,1733.7067806456964
145824.2,27178.2,8076,118646.00000000001,18.63764724922201,336.53046062407134,1805.6488360574544
183336.66,47104.74,11406,136231.92,25.69302833377678,412.98211467648605,1607.370331404524
143611.8,381722.69999999995,8831,-238110.89999999997,265.801765593078,4322.530857207564,1626.2235307439698
272934.3,558078.33,12362,-285144.02999999997,204.47350516223133,4514.466348487299,2207.849053551205
88169.36,58455.69,5794,29713.67,66.29932439114904,1008.9004142216086,1521.7355885398688
103735.97,27888.03,6111,75847.94,26.883664364443693,456.3578792341679,1697.5285550646377
143380.84,399810.73,9865,-256429.88999999998,278.8452976004325,4052.820375063355,1453.4297009630004
93034.3,894.7,7802,92139.6,0.9616883235537862,11.46757241732889,1192.4416816200974
42613.6,95759.2,2490,-53145.6,224.7151144235643,3845.751004016064,1711.3895582329317
