Model,Train MSE,Test MSE,Train MAE,Test MAE,Train RMSE,Test RMSE,Train MAPE,Test MAPE,Train/Test Size,Params
linear_regression,10.347222362307921,9.668775470080348,2.163957824851883,2.0762109786891685,3.216709866044484,3.1094654637220764,0.5782522387451571,0.5821170199592021,2373/1017,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}"
random_forest,1.3636442148688879,6.663738365886586,0.4488052404854165,0.9492612895209198,1.1677517779343725,2.5814217721803203,0.057951033614151506,0.10938965966644393,2373/1017,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 200, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}"
xgboost,2.7837551654018813,6.53338401687456,0.6357948659855859,0.9235682156374322,1.668458919303044,2.5560485161425555,0.08528457879414604,0.10839270835034102,2373/1017,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 100, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
lightgbm,1.872537752466607,7.070316125420263,0.5232669510471837,0.9629499509709476,1.3684070127219485,2.659006604997487,0.07029299527192519,0.11164610166974048,2373/1017,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 7, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': None, 'num_leaves': 50, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}"
